created_at,entry_id,Temperature,Humidity,Ethanol (Gas),Type of Fruit,Ethylene
2022-06-11T15:53:46+00:00,1,34.2,81.6,425,Banana,217.5
2022-06-11T15:54:39+00:00,2,34.3,83.8,425,Banana,217.5
2022-06-11T15:55:22+00:00,3,34.4,84.6,429,Banana,217.1
2022-06-11T15:55:55+00:00,4,34.4,85.7,438,Banana,216.2
2022-06-11T15:56:28+00:00,5,34.5,85.6,424,Banana,217.6
2022-06-11T15:57:01+00:00,6,34.5,83.2,429,Banana,217.1
2022-06-11T15:57:35+00:00,7,34.6,82.2,425,Banana,217.5
2022-06-11T15:58:08+00:00,8,34.6,83.5,424,Banana,217.6
2022-06-11T15:58:41+00:00,9,34.6,84.2,433,Banana,216.7
2022-06-11T15:59:14+00:00,10,34.6,83.9,429,Banana,217.1
2022-06-11T15:59:47+00:00,11,34.7,82.6,429,Banana,217.1
2022-06-11T16:00:20+00:00,12,34.7,82.2,432,Banana,216.8
2022-06-11T16:00:53+00:00,13,34.7,82.8,405,Banana,219.5
2022-06-11T16:01:26+00:00,14,34.8,79.6,406,Banana,219.4
2022-06-11T16:01:59+00:00,15,34.8,79,411,Banana,218.9
2022-06-11T16:02:33+00:00,16,34.8,79.7,421,Banana,217.9
2022-06-11T16:03:06+00:00,17,34.8,81.8,427,Banana,217.3
2022-06-11T16:03:39+00:00,18,34.9,81,423,Banana,217.7
2022-06-11T16:04:12+00:00,19,34.9,80.1,425,Banana,217.5
2022-06-11T16:04:45+00:00,20,34.8,80.2,424,Banana,217.6
2022-06-11T16:05:18+00:00,21,34.8,81.1,426,Banana,217.4
2022-06-11T16:05:51+00:00,22,34.9,81.4,425,Banana,217.5
2022-06-11T16:06:25+00:00,23,34.9,81,432,Banana,216.8
2022-06-11T16:06:58+00:00,24,34.9,80.6,435,Banana,216.5
2022-06-11T16:07:31+00:00,25,34.9,82.2,428,Banana,217.2
2022-06-11T16:08:04+00:00,26,34.9,82.4,427,Banana,217.3
2022-06-11T16:08:37+00:00,27,34.9,81.7,428,Banana,217.2
2022-06-11T16:09:10+00:00,28,34.9,82.6,426,Banana,217.4
2022-06-11T16:09:43+00:00,29,34.9,82.2,441,Banana,215.9
2022-06-11T16:10:17+00:00,30,34.9,79.7,435,Banana,216.5
2022-06-11T16:10:50+00:00,31,34.9,81.2,438,Banana,216.2
2022-06-11T16:11:23+00:00,32,35,80.7,436,Banana,216.4
2022-06-11T16:11:56+00:00,33,35,81.2,426,Banana,217.4
2022-06-11T16:12:29+00:00,34,35,81.5,428,Banana,217.2
2022-06-11T16:13:02+00:00,35,35,81.4,429,Banana,217.1
2022-06-11T16:13:35+00:00,36,35,81.5,439,Banana,216.1
2022-06-11T16:14:09+00:00,37,35,81.1,443,Banana,215.7
2022-06-11T16:14:42+00:00,38,35,81.5,435,Banana,216.5
2022-06-11T16:15:15+00:00,39,35,82.6,428,Banana,217.2
2022-06-11T16:15:48+00:00,40,35,82,450,Banana,215
2022-06-11T16:16:21+00:00,41,35,80,449,Banana,215.1
2022-06-11T16:16:54+00:00,42,35,81.6,435,Banana,216.5
2022-06-11T16:17:28+00:00,43,35,81.8,430,Banana,217
2022-06-11T16:18:01+00:00,44,35,82,431,Banana,216.9
2022-06-11T16:18:34+00:00,45,35,81,457,Banana,214.3
2022-06-11T16:19:07+00:00,46,35.1,79.9,433,Banana,216.7
2022-06-11T16:19:40+00:00,47,35.1,81.8,434,Banana,216.6
2022-06-11T16:20:13+00:00,48,35.1,80.6,437,Banana,216.3
2022-06-11T16:20:47+00:00,49,35.1,81.1,431,Banana,216.9
2022-06-11T16:21:20+00:00,50,35.1,80.9,428,Banana,217.2
2022-06-11T16:21:53+00:00,51,35.1,82.1,430,Banana,217
2022-06-11T16:22:26+00:00,52,35.1,81.6,433,Banana,216.7
2022-06-11T16:22:59+00:00,53,35.1,81.4,437,Banana,216.3
2022-06-11T16:23:33+00:00,54,35.1,81.3,440,Banana,216
2022-06-11T16:24:06+00:00,55,35.1,81.6,444,Banana,215.6
2022-06-11T16:24:39+00:00,56,35.1,81.1,446,Banana,215.4
2022-06-11T16:25:12+00:00,57,35.1,81.7,443,Banana,215.7
2022-06-11T16:25:45+00:00,58,35.1,82,443,Banana,215.7
2022-06-11T16:26:18+00:00,59,35.1,81.1,448,Banana,215.2
2022-06-11T16:26:52+00:00,60,35.1,80.2,457,Banana,214.3
2022-06-11T16:27:25+00:00,61,35.1,80.1,448,Banana,215.2
2022-06-11T16:27:58+00:00,62,35.1,80.9,441,Banana,215.9
2022-06-11T16:28:31+00:00,63,35.1,81.1,438,Banana,216.2
2022-06-11T16:29:04+00:00,64,35.1,79.9,439,Banana,216.1
2022-06-11T16:29:37+00:00,65,35.1,80.2,352,Banana,224.8
2022-06-11T16:30:10+00:00,66,35.1,80.1,247,Banana,173.5
2022-06-11T16:30:44+00:00,67,35.1,59.3,313,Banana,206.5
2022-06-11T16:31:17+00:00,68,35,60.6,351,Banana,224.9
2022-06-11T16:31:50+00:00,69,35,72.8,373,Banana,222.7
